Species	Month	status	value	flowered	life_form	family	months_flowered
Isolepis hystrix	January	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis hystrix	October	Exotic	1	1	Therophyte	Cyperaceae	October
Isolepis hystrix	November	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis hystrix	December	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis levynsiana	January	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis levynsiana	November	Exotic	0	0	Therophyte	Cyperaceae	October
Isolepis levynsiana	October	Exotic	2	1	Therophyte	Cyperaceae	October
Isolepis levynsiana	December	Exotic	0	0	Therophyte	Cyperaceae	October
Aira cupaniana	October	Exotic	14	1	Therophyte	Poaceae	October
Aira cupaniana	November	Exotic	0	0	Therophyte	Poaceae	October
Aira cupaniana	January	Exotic	0	0	Therophyte	Poaceae	October
Aira cupaniana	December	Exotic	0	0	Therophyte	Poaceae	October
Bulbine bulbosa	December	Native	0	0	Geophyte	Asphodelaceae	October
Bulbine bulbosa	October	Native	12	1	Geophyte	Asphodelaceae	October
Bulbine bulbosa	January	Native	0	0	Geophyte	Asphodelaceae	October
Bulbine bulbosa	November	Native	0	0	Geophyte	Asphodelaceae	October
Centrolepis strigosa	November	Native	0	0	Therophyte	Restionaceae	October
Centrolepis strigosa	October	Native	6	1	Therophyte	Restionaceae	October
Centrolepis strigosa	January	Native	0	0	Therophyte	Restionaceae	October
Centrolepis strigosa	December	Native	0	0	Therophyte	Restionaceae	October
Craspedia paludicola	November	Native	0	0	Hemicryptophyte	Asteraceae	October
Craspedia paludicola	October	Native	2	1	Hemicryptophyte	Asteraceae	October
Craspedia paludicola	January	Native	0	0	Hemicryptophyte	Asteraceae	October
Craspedia paludicola	December	Native	0	0	Hemicryptophyte	Asteraceae	October
Diuris behrii	January	Native	0	0	Geophyte	Orchidaceae	October
Diuris behrii	December	Native	0	0	Geophyte	Orchidaceae	October
Diuris behrii	November	Native	0	0	Geophyte	Orchidaceae	October
Diuris behrii	October	Native	9	1	Geophyte	Orchidaceae	October
Drosera glanduligera	January	Native	0	0	Geophyte	Droseraceae	October
Drosera glanduligera	December	Native	0	0	Geophyte	Droseraceae	October
Drosera glanduligera	November	Native	0	0	Geophyte	Droseraceae	October
Drosera glanduligera	October	Native	4	1	Geophyte	Droseraceae	October
Drosera hookeri	October	Native	7	1	Geophyte	Droseraceae	October
Drosera hookeri	January	Native	0	0	Geophyte	Droseraceae	October
Drosera hookeri	December	Native	0	0	Geophyte	Droseraceae	October
Drosera hookeri	November	Native	0	0	Geophyte	Droseraceae	October
Eutaxia microphylla	December	Native	0	0	Chamaephyte	Fabaceae	October
Eutaxia microphylla	November	Native	0	0	Chamaephyte	Fabaceae	October
Eutaxia microphylla	October	Native	1	1	Chamaephyte	Fabaceae	October
Eutaxia microphylla	January	Native	0	0	Chamaephyte	Fabaceae	October
Hackelia suaveolens	December	Native	0	0	Hemicryptophyte	Boraginaceae	October
Hackelia suaveolens	November	Native	0	0	Hemicryptophyte	Boraginaceae	October
Hackelia suaveolens	October	Native	1	1	Hemicryptophyte	Boraginaceae	October
Hackelia suaveolens	January	Native	0	0	Hemicryptophyte	Boraginaceae	October
Juncus bufonius	December	Exotic	0	0	Therophyte	Juncaceae	October
Juncus bufonius	November	Exotic	0	0	Therophyte	Juncaceae	October
Juncus bufonius	January	Exotic	0	0	Therophyte	Juncaceae	October
Juncus bufonius	October	Exotic	2	1	Therophyte	Juncaceae	October
Thelymitra gregaria	January	Native	0	0	Geophyte	Orchidaceae	October
Thelymitra gregaria	December	Native	0	0	Geophyte	Orchidaceae	October
Thelymitra gregaria	October	Native	22	1	Geophyte	Orchidaceae	October
Thelymitra gregaria	November	Native	0	0	Geophyte	Orchidaceae	October
Thelymitra pauciflora	January	Native	0	0	Geophyte	Orchidaceae	October
Thelymitra pauciflora	November	Native	0	0	Geophyte	Orchidaceae	October
Thelymitra pauciflora	December	Native	0	0	Geophyte	Orchidaceae	October
Thelymitra pauciflora	October	Native	20	1	Geophyte	Orchidaceae	October
Aira elegantissima	December	Exotic	0	0	Therophyte	Poaceae	"October,November"
Aira elegantissima	January	Exotic	0	0	Therophyte	Poaceae	"October,November"
Aira elegantissima	November	Exotic	1	1	Therophyte	Poaceae	"October,November"
Aira elegantissima	October	Exotic	69	1	Therophyte	Poaceae	"October,November"
Austrostipa mollis	October	Native	6	1	Hemicryptophyte	Poaceae	"October,November"
Austrostipa mollis	January	Native	0	0	Hemicryptophyte	Poaceae	"October,November"
Austrostipa mollis	December	Native	0	0	Hemicryptophyte	Poaceae	"October,November"
Austrostipa mollis	November	Native	2	1	Hemicryptophyte	Poaceae	"October,November"
Austrostipa scabra	December	Native	0	0	Hemicryptophyte	Poaceae	"October,November"
Austrostipa scabra	January	Native	0	0	Hemicryptophyte	Poaceae	"October,November"
Austrostipa scabra	October	Native	11	1	Hemicryptophyte	Poaceae	"October,November"
Austrostipa scabra	November	Native	19	1	Hemicryptophyte	Poaceae	"October,November"
Briza maxima	December	Exotic	0	0	Therophyte	Poaceae	"October,November"
Briza maxima	January	Exotic	0	0	Therophyte	Poaceae	"October,November"
Briza maxima	November	Exotic	1	1	Therophyte	Poaceae	"October,November"
Briza maxima	October	Exotic	12	1	Therophyte	Poaceae	"October,November"
Brunonia australis	January	Native	0	0	Hemicryptophyte	Brunoniaceae	"October,November"
Brunonia australis	December	Native	0	0	Hemicryptophyte	Brunoniaceae	"October,November"
Brunonia australis	October	Native	1	1	Hemicryptophyte	Brunoniaceae	"October,November"
Brunonia australis	November	Native	2	1	Hemicryptophyte	Brunoniaceae	"October,November"
Burchardia umbellata	December	Native	0	0	Geophyte	Colchicaceae	"October,November"
Burchardia umbellata	November	Native	1	1	Geophyte	Colchicaceae	"October,November"
Burchardia umbellata	October	Native	29	1	Geophyte	Colchicaceae	"October,November"
Burchardia umbellata	January	Native	0	0	Geophyte	Colchicaceae	"October,November"
Cerastium glomeratum	December	Exotic	0	0	Therophyte	Caryophyllaceae	"October,November"
Cerastium glomeratum	January	Exotic	0	0	Therophyte	Caryophyllaceae	"October,November"
Cerastium glomeratum	November	Exotic	2	1	Therophyte	Caryophyllaceae	"October,November"
Cerastium glomeratum	October	Exotic	27	1	Therophyte	Caryophyllaceae	"October,November"
Cicendia filiformis	November	Exotic	10	1	Therophyte	Gentianaceae	"October,November"
Cicendia filiformis	December	Exotic	0	0	Therophyte	Gentianaceae	"October,November"
Cicendia filiformis	January	Exotic	0	0	Therophyte	Gentianaceae	"October,November"
Cicendia filiformis	October	Exotic	29	1	Therophyte	Gentianaceae	"October,November"
Dactylis glomerata	January	Exotic	0	0	Hemicryptophyte	Poaceae	"October,November"
Dactylis glomerata	October	Exotic	2	1	Hemicryptophyte	Poaceae	"October,November"
Dactylis glomerata	December	Exotic	0	0	Hemicryptophyte	Poaceae	"October,November"
Dactylis glomerata	November	Exotic	10	1	Hemicryptophyte	Poaceae	"October,November"
Dianella revoluta	January	Native	0	0	Chamaephyte	Asphodelaceae	"October,November"
Dianella revoluta	December	Native	0	0	Chamaephyte	Asphodelaceae	"October,November"
Dianella revoluta	November	Native	3	1	Chamaephyte	Asphodelaceae	"October,November"
Dianella revoluta	October	Native	3	1	Chamaephyte	Asphodelaceae	"October,November"
Disa bracteata	December	Exotic	0	0	Geophyte	Orchidaceae	"October,November"
Disa bracteata	January	Exotic	0	0	Geophyte	Orchidaceae	"October,November"
Disa bracteata	November	Exotic	33	1	Geophyte	Orchidaceae	"October,November"
Disa bracteata	October	Exotic	58	1	Geophyte	Orchidaceae	"October,November"
Erodium botrys	December	Exotic	0	0	Therophyte	Geraniaceae	"October,November"
Erodium botrys	November	Exotic	2	1	Therophyte	Geraniaceae	"October,November"
Erodium botrys	January	Exotic	0	0	Therophyte	Geraniaceae	"October,November"
Erodium botrys	October	Exotic	4	1	Therophyte	Geraniaceae	"October,November"
Goodenia pinnatifida	November	Native	1	1	Hemicryptophyte	Goodeniaceae	"October,November"
Goodenia pinnatifida	October	Native	7	1	Hemicryptophyte	Goodeniaceae	"October,November"
Goodenia pinnatifida	January	Native	0	0	Hemicryptophyte	Goodeniaceae	"October,November"
Goodenia pinnatifida	December	Native	0	0	Hemicryptophyte	Goodeniaceae	"October,November"
Juncus capitatus	January	Exotic	0	0	Therophyte	Juncaceae	"October,November"
